DATE,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyDepartureFromNormalAverageTemperature,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySnowfallWE,IceInches,DailySustainedWindSpeed,DailyWeather,Sunrise,Sunset,DW_FZRA,DW_SN,DW_PL,DW_BR,DW_BLSN,DW_FZDZ,DW_RA,DW_DZ,DW_FG,DW_MIFG,DW_TS,DW_GR,DW_FZFG,DW_HZ
2016-10-01T23:59:00,58,75,53,10.4,-1.8,64,52,32,0.12,,,,,23,RA BR,610,1749,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2016-10-02T23:59:00,56,80,51,4.5,-3.5,60,51,15,0.22,,,,,12,RA BR,611,1747,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2016-10-03T23:59:00,54,73,50,5.1,-5.1,61,47,19,0.01,,,,,15,RA DZ BR,612,1745,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2016-10-04T23:59:00,58,83,54,9.2,-0.8,63,53,31,0.15,,,,,22,RA,614,1743,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-10-05T23:59:00,59,83,54,10.8,0.6,63,54,27,0.25,,,,,21,RA BR,615,1741,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2016-10-06T23:59:00,59,79,54,8.2,0.9,62,55,24,0.14,,,,,17,RA,616,1740,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-10-07T23:59:00,59,88,56,6.7,1.3,62,55,26,0.25,,,,,21,RA BR,617,1738,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2016-10-08T23:59:00,64,81,59,7.7,6.6,70,57,20,0.11,,,,,15,RA,619,1736,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-10-09T23:59:00,57,90,54,7.5,0,62,51,25,0.85,,,,,20,RA BR,620,1734,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2016-10-10T23:59:00,53,80,48,3,-3.7,62,44,12,0,,,,,9,BR,621,1732,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-10-11T23:59:00,54,63,47,8.4,-2.3,66,42,25,0,,,,,20,FG BR,623,1730,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2016-10-12T23:59:00,53,62,47,8,-3,65,41,22,0.03,,,,,18,RA,624,1729,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-10-13T23:59:00,56,95,52,14.4,0.3,60,51,36,1.99,,,,,28,RA BR,625,1727,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2016-10-14T23:59:00,60,76,54,13,4.6,66,54,40,0.49,,,,,30,TS GR RA BR,627,1725,0,0,0,1,0,0,1,0,0,0,1,1,0,0
2016-10-15T23:59:00,59,84,53,14.9,4,65,53,53,0.51,,,,,40,RA BR,628,1723,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2016-10-16T23:59:00,56,78,51,11.5,1.3,60,52,25,0.25,,,,,18,RA,629,1721,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-10-17T23:59:00,56,84,51,12.6,1.6,61,50,29,0.44,,,,,24,TS RA BR,631,1720,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2016-10-18T23:59:00,54,84,51,5.4,-0.1,59,48,16,0.05,,,,,12,RA,632,1718,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-10-19T23:59:00,53,81,51,8.2,-0.8,61,45,18,0.23,,,,,15,RA,633,1716,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-10-20T23:59:00,58,89,55,6.2,4.5,63,53,24,0.26,,,,,20,RA BR,635,1715,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2016-10-21T23:59:00,58,84,53,4,4.8,63,52,25,0.48,,,,,21,RA BR,636,1713,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2016-10-22T23:59:00,57,78,52,7,4.1,64,50,18,0.04,,,,,15,RA,637,1711,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-10-23T23:59:00,58,81,53,5.7,5.4,63,52,17,0.07,,,,,14,RA,639,1710,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-10-24T23:59:00,56,74,51,11.6,3.6,62,49,27,0.07,,,,,22,RA,640,1708,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-10-25T23:59:00,56,80,52,5.6,3.9,63,49,18,T,,,,,14,RA DZ,642,1707,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2016-10-26T23:59:00,59,90,55,8.8,7.2,63,54,22,0.67,,,,,18,RA BR,643,1705,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2016-10-27T23:59:00,56,86,52,7.9,4.4,59,53,19,0.16,,,,,15,RA,644,1703,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-10-28T23:59:00,59,70,53,10.5,7.7,66,52,22,0.01,,,,,18,DZ,646,1702,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-10-29T23:59:00,56,78,52,8.3,4.9,61,50,22,0.16,,,,,18,RA,647,1700,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-10-30T23:59:00,51,88,50,6.9,0.2,56,46,29,0.11,,,,,22,RA,649,1659,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-10-31T23:59:00,54,85,52,9.4,3.4,56,52,34,0.19,,,,,24,RA BR,650,1657,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2016-11-01T23:59:00,56,75,51,9.6,5.7,61,50,24,T,,,,,18,RA,651,1656,0,0,0,0,0,0,1,0,0,0,0,0,0,0
